Name;Name2;Name3;;Stadt;Land
The Morton Arboretum;seed exchange;;;Lisle, IL. 60532- 1293;U.S.A.
Denver Botanic Gardens;Mike Bone;;;Denver /Colorado 80206-3799;U.S.A.
Musée National d'Histoire Naturelle;Arboretum Kirchberg;;;Luxembourg;LUXEMBURG
Station of Nature Research and;Environmental Education;;;MARIJAMPOLĖ;LITHUANIA
Jardin Exotique de Monaco;;;;Monaco Cedex;MONACO
Kaunas Botanical Garden;of Vytautas Magnus University;;;Kaunas;LITHUANIA
Washington Park Arboretum;University of Washington Botanic Gardens;;;Seattle /Washington 98195-8010;U.S.A.
The Nippon Shinyaku Institute;for Botanical Research;Sakanotsuji-cho 39, Oyake,;;Kyoto, 607-8182;JAPAN
Botanic Garden;Smith College;;;Northampton / Massachusetts 01063;U.S.A.
Botanical Garden of the;University of Latvia;;;Riga;LATVIA
The Dawes Arboretum;Mr. Gregory A. Payton, Index Seminum;;;Newark /Ohio 43056-9380;U.S.A.
Higashiyama Botanical Gardens;City of Nagoya;3-70, Higashiyamamoto-machi;;Nagoya-shi 464-0804;JAPAN
Arboretum & Botanical Garden;University of Bergen;ARBOHA;;Hjellestad;NORWAY
W.J. Beal Botanical Garden;Michigan State University;;;East Lansing, MI 48824-1047;U.S.A.
Horticultural Society;of Iceland;Garðyrkjufélag íslands;;Reykjavík;ICELAND
Hiroshima Botanical Garden;;495, Kurashige 3-chome,;;Hiroshima 731-5156;JAPAN
Botanical Garden Tel Aviv University;The George S.Wise Fac. of Life Sciences;Ramat Aviv;;Tel Aviv 69978;ISRAEL
Botanical Garden;University of Oslo;Natural History Museum;;Oslo;NORWAY
Brooklyn Botanic Garden;Seed Index;Herbarium;;Brooklyn /N.Y. 11225-1099;U.S.A.
Hortus Botanicus;Gradina Botanica (I) a A.S.M.;A ACADEMIEI DE ŞTIINŢE;;Chisinau;Republica Moldova
Hebrew University of Jerusalem;Botanical Garden;for the Flora of Israel;;Jerusalem 91905;ISRAEL
Botanischer Garten;Universität Duisburg-Essen;;;Duisburg (Hamborn);Deutschland
Manie van der Schijff;Botanical Garden;Department of Botany;;Pretoria 0002;SOUTH AFRICA
Botanical Garden;Seed Department;Lomonosov Moscow State University;;Moscow GSP-1;RUSSIA
Hengchun Tropical Botanic Garden;;;;Heng-Chun Ping-Tung County, Taiwan 946, ROC;PEOPLE'S REP. OF CHINA
Städtische;Sukkulenten-Sammlung;Zürich;;Zürich;SCHWEIZ
Botanischer Garten;Universität Zürich;;;Zürich;SCHWEIZ
Botanischer Garten;u. Rhododendronpark;Stadtgrün Bremen;;Bremen;Deutschland
Mendel University of;Agriculture and Forestry Brno;Botanical Gardens & Arboretum;;Brno;CZECH REPUBLIC
Botanischer Garten;Ernst-Moritz-Arndt-Universität;;;Greifswald;Deutschland
Botanische Gärten;;;;Bonn;Deutschland
